C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,C1_OBJ_NM_ENG
시군구별,8623,34030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Boryeong-si,보령시,명,101,By Administrative District
시군구별,16368,34040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Asan-si,아산시,명,101,By Administrative District
시군구별,10426,34050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seosan-si,서산시,명,101,By Administrative District
시군구별,10085,34060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Nonsan-si,논산시,명,101,By Administrative District
시군구별,1747,34090,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gyerong-si,계룡시,명,101,By Administrative District
시군구별,4606,34310,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Geumsan-gun,금산군,명,101,By Administrative District
시군구별,6793,34330,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Buyeo-gun,부여군,명,101,By Administrative District
시군구별,5432,34340,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seocheon-gun,서천군,명,101,By Administrative District
시군구별,3153,34350,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Cheongyang-gun,청양군,명,101,By Administrative District
시군구별,7297,34360,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Hongseong-gun,홍성군,명,101,By Administrative District
시군구별,7458,34370,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yesan-gun,예산군,명,101,By Administrative District
시군구별,5272,34380,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Taean-gun,태안군,명,101,By Administrative District
시군구별,10637,34390,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dangjin-si,당진시,명,101,By Administrative District
시군구별,129964,35,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jeollabuk-Do,전북특별자치도,명,101,By Administrative District
