순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10195,포천시,포천상운,20637,236000009,포천고등학교앞,236000737,추동1리마을회관,236000320,N,20240306
10196,포천시,포천상운,53,236000012,포천시청앞,236000308,삼율리,236000124,N,20240306
10197,포천시,포천상운,55,236000013,포천시청앞,236000308,직두3리.논배,236000963,N,20240306
10198,포천시,포천상운,63,236000015,영화마을,236000463,산호아파트,236001077,N,20240306
10199,포천시,포천상운,20821,236000019,포천시청앞,236000308,송내주공5단지후문,215000176,N,20240306
10200,포천시,포천상운,73,236000023,포천고등학교앞,236000737,포천아트밸리,236001172,N,20240306
10201,포천시,포천상운,21916,236000025,포천고등학교앞,236000737,관인파출소앞,236001164,N,20240306
10202,포천시,포천상운,60,236000039,포천시청앞,236000308,추동1리마을회관,236000320,N,20240306
10203,포천시,포천상운,56,236000041,포천행복주택.용정산업단지입구,236001076,전곡역,238000325,N,20240306
10204,포천시,포천상운,62,236000044,대진대주차장대기(경유),277102087,양주역,235000245,N,20240306
10205,포천시,포천상운,57,236000046,포천고등학교앞,236000737,소요산,215000217,N,20240306
10206,포천시,포천교통,72,236000048,하성북리,236001242,수유역(중),108000003,Y,20240306
10207,포천시,포천교통,138,236000049,경복대입구,236001099,의정부역.흥선지하도입구,207000439,N,20240306
10208,포천시,선진시내버스,26359,236000052,반월아트홀.여성회관,236001108,방학2동주민센터,109000083,Y,20240306
10209,포천시,포천교통,44958,236000056,동교4통,236000503,무봉2리회관,236000787,N,20240306
10210,포천시,포천교통,2,236000057,동교4통,236000503,무봉2리회관,236000787,N,20240306
10211,포천시,선진시내버스,24108,236000058,일동중.고등학교,236000544,포천고등학교앞,236000737,N,20240306
10212,포천시,선진시내버스,138-5,236000061,도평리,236000784,의정부부대찌개거리.중앙역,207000030,N,20240306
10213,포천시,포천교통,1386,236000063,산정호수.상동주차장,236001170,도봉산역광역환승센터,109000405,N,20240306
10214,포천시,선진시내버스,33,236000066,소학1리,236000834,의정부역.흥선지하도입구,207000439,N,20240306
10215,포천시,선진시내버스,7,236000068,일동터미널,236000919,광능내종점,222001057,N,20240306
10216,포천시,선진시내버스,66,236000070,의정부약국,236000219,초가팔2리마을회관,236001294,N,20240306
10217,포천시,포천교통,1,236000117,선단4통.장승거리,236000520,무림1리마을회관,236001275,N,20240306
10218,포천시,선진시내버스,45109,236000137,도평리,236000784,광능내종점,222001057,N,20240306
10219,포천시,선진시내버스,8,236000140,선단3통,236001382,수영장입구,236001364,N,20240306
10220,포천시,포천교통,3,236000141,일동초교.일동도서관,236000552,백운종점,236000897,N,20240306
10221,포천시,포천상운,68,236000145,영화마을,236000463,의정부약국,236000219,N,20240306
10222,포천시,포천상운,67,236000146,영화마을,236000463,장자마을회관,236001256,N,20240306
10223,포천시,선진시내버스,3200,236000149,차고지대(경유),277102413,청량리역환승센터(4번승강장),105000015,N,20240306
10224,포천시,선진시내버스,9,236000153,청소년교육문화센터,236001216,가산면행정복지센터,236001321,N,20240306
10225,남양주시,대원운수,1006,222000192,다산차고지,222001920,강변역A,104000183,N,20231231
10226,남양주시,대원운수,105,222000177,진벌리차고지,222000652,당고개역,110000650,N,20231231
10227,남양주시,대원운수,105-1,222000186,광릉내종점,222000629,당고개역,110000650,N,20231231
10228,남양주시,대원운수,1100,222000074,차산리,222000796,신사역3번출구,122000010,N,20231231
10229,포천시,선진시내버스,10,236000154,산정호수상동주차장,236001143,한탄강하늘다리주차장,236000327,Y,20240306
10230,포천시,선진시내버스,3500,236000176,대진대주차장대기(경유),277102087,건대로데오거리입구,104000125,N,20240306
10231,포천시,선진시내버스,45108,236000188,도평리,236000784,광릉내종점,222000629,N,20240306
10232,포천시,선진시내버스,3600,236000190,차고지대기(경유),277102567,강남역12번출구,122000181,N,20240306
10233,포천시,포천교통,88,236000194,경복대입구,236001099,홈플러스,236000509,Y,20240306
10234,포천시,포천상운,31778,236000196,포천고등학교앞,236000737,금동1리,236000729,N,20240306
10235,포천시,포천상운,31837,236000197,영화아파트,236000954,아트교사거리,236001406,N,20240306
