C1_OBJ_NM,DT,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,UNIT_NM_ENG
행정구역별,24314,1236330,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gurye-gun,구례군,명,101,
행정구역별,38,1236330,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gurye-gun,구례군,%,101, 
행정구역별,27061,1236350,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Goheung-gun,고흥군,명,101,
행정구역별,61113,1236350,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Goheung-gun,고흥군,명,101,
행정구역별,44.3,1236350,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Goheung-gun,고흥군,%,101, 
행정구역별,15952,1236360,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Boseong-gun,보성군,명,101,
행정구역별,37686,1236360,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Boseong-gun,보성군,명,101,
행정구역별,42.3,1236360,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Boseong-gun,보성군,%,101, 
행정구역별,18185,1236370,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Hwasun-gun,화순군,명,101,
행정구역별,61254,1236370,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Hwasun-gun,화순군,명,101,
행정구역별,29.7,1236370,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Hwasun-gun,화순군,%,101, 
행정구역별,13264,1236380,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Jangheung-gun,장흥군,명,101,
행정구역별,35046,1236380,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Jangheung-gun,장흥군,명,101,
행정구역별,37.8,1236380,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Jangheung-gun,장흥군,%,101, 
행정구역별,12505,1236390,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangjin-gun,강진군,명,101,
행정구역별,32722,1236390,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangjin-gun,강진군,명,101,
행정구역별,38.2,1236390,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangjin-gun,강진군,%,101, 
행정구역별,23293,1236400,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Haenam-gun,해남군,명,101,
행정구역별,64575,1236400,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Haenam-gun,해남군,명,101,
행정구역별,36.1,1236400,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Haenam-gun,해남군,%,101, 
행정구역별,15298,1236410,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeongam-gun,영암군,명,101,
행정구역별,52350,1236410,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeongam-gun,영암군,명,101,
행정구역별,29.2,1236410,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeongam-gun,영암군,%,101, 
행정구역별,19000,1236420,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Muan-gun,무안군,명,101,
행정구역별,90296,1236420,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Muan-gun,무안군,명,101,
행정구역별,21,1236420,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Muan-gun,무안군,%,101, 
행정구역별,12326,1236430,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Hampyeong-gun,함평군,명,101,
행정구역별,30601,1236430,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Hampyeong-gun,함평군,명,101,
행정구역별,40.3,1236430,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Hampyeong-gun,함평군,%,101, 
행정구역별,16281,1236440,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeonggwang-gun,영광군,명,101,
행정구역별,51750,1236440,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeonggwang-gun,영광군,명,101,
